▣ 홍수특보 발령상황
홍수예보 제 2020-41호,한강 파주시(비룡대교)지점,2020-08-10 12:00,홍수주의보 발령
홍수예보 제 2020-40호,한강 포천시(영평교)지점,2020-08-10 06:50,홍수주의보 해제
홍수예보 제 2020-39호,한강 여주시(흥천대교)지점,2020-08-09 23:10,홍수경보 해제
홍수예보 제 2020-38호,한강 여주시(원부교)지점,2020-08-09 23:10,홍수경보 해제
홍수예보 제 2020-37호,안성천 평택시(군문교)지점,2020-08-09 23:00,홍수주의보 해제
홍수예보 제 2020-36호,한강 괴산군(목도교)지점,2020-08-09 22:50,홍수주의보 해제
홍수예보 제 2020-35호,한강 포천시(영평교)지점,2020-08-09 15:00,홍수주의보 발령
홍수예보 제 2020-34호,한강 광주시(경안교)지점,2020-08-07 16:00,홍수주의보 해제
홍수예보 제 2020-33호,한강 남양주시(진관교)지점,2020-08-07 16:00,홍수경보 해제
홍수예보 제 2020-32호,한강 원주시(문막교)지점,2020-08-07 12:00,홍수주의보 해제
홍수예보 제 2020-31호,한강 홍천군(홍천교)지점,2020-08-07 11:30,홍수주의보 해제
홍수예보 제 2020-31호,한강 포천시(영평교)지점,2020-08-07 11:00,홍수경보 해제
홍수예보 제 2020-29호,한강 서울시(한강대교)지점,2020-08-07 09:00,홍수주의보 해제
홍수예보 제 2020-28호,한강 서울시(대곡교)지점,2020-08-07 09:00,홍수주의보 해제
홍수예보 제 2020-27호,한강 파주시(비룡대교)지점,2020-08-07 07:30,홍수경보 해제
홍수예보 제 2020-26호,한강 연천군(사랑교)지점,2020-08-07 07:30,홍수주의보 해제
홍수예보 제 2020-25호,한강 원주시(문막교)지점,2020-08-06 13:40,홍수주의보 발령
홍수예보 제 2020-24호,한강 서울시(한강대교)지점,2020-08-06 11:00,홍수주의보 발령
홍수예보 제 2020-23호,한강 광주시(경안교)지점,2020-08-06 06:50,홍수주의보 발령
홍수예보 제 2020-22호,한강 서울시(대곡교)지점,2020-08-06 05:50,홍수주의보 발령
홍수예보 제 2020-21호,한강 연천군(사랑교)지점,2020-08-05 18:10,홍수주의보 발령
홍수예보 제 2020-20호,한강 파주시(비룡대교)지점,2020-08-05 16:30,홍수경보 변경발령
홍수예보 제 2020-19호,한강 파주시(비룡대교)지점,2020-08-05 13:50,홍수주의보 발령
홍수예보 제 2020-18호,안성천 평택시(군문교)지점,2020-08-03 15:10,홍수주의보 발령
홍수예보 제 2020-17호,한강 홍천군(홍천교)지점,2020-08-03 12:50,홍수주의보 발령
홍수예보 제 2020-16호,한강 포천시(영평교)지점,2020-08-03 10:50,홍수경보 변경발령
홍수예보 제 2020-15호,한강 남양주시(진관교)지점,2020-08-03 10:10,홍수경보 변경발령
홍수예보 제 2020-14호,한강 남양주시(진관교)지점,2020-08-03 06:20,홍수주의보 발령
홍수예보 제 2020-13호,한강 포천시(영평교)지점,2020-08-02 18:30,홍수주의보 발령
홍수예보 제 2020-12호,한강 여주시(흥천대교)지점,2020-08-02 12:40,홍수경보 변경발령
홍수예보 제 2020-11호,한강 여주시(흥천대교)지점,2020-08-02 11:20,홍수주의보 발령
홍수예보 제 2020-10호,한강 여주시(원부교)지점,2020-08-02 08:50,홍수경보 변경발령
